driverId,driver_age,driver_momentum,position_qualifying,q1_millis,reached_q1,q2_millis,reached_q2,q3_millis,reached_q3,constructorId,constructor_momentum,round,circuitId,grid,driver_track_affinity,constructor_track_affinity,constructor_dnf_rate,driver_dnf_rate,circuit_dnf_rate
18,29.190965092402465,14.333333333333334,1,85211.0,True,84855.0,True,86202.0,True,23,1.5,1,1,1,14.333333333333334,1.5,0.0,0.2830188679245283,0.4545454545454545
22,36.84873374401095,13.0,2,85006.0,True,84783.0,True,86505.0,True,23,1.5,1,1,2,13.333333333333334,1.5,0.0,0.1886792452830188,0.4545454545454545
3,23.753593429158112,12.666666666666666,5,85846.0,True,85123.0,True,86973.0,True,3,13.666666666666666,1,1,5,10.333333333333334,12.166666666666666,0.3018867924528302,0.2830188679245283,0.4545454545454545
10,27.03080082135524,10.666666666666666,6,85499.0,True,85281.0,True,86975.0,True,7,10.833333333333334,1,1,19,10.0,10.833333333333334,0.2924528301886792,0.2222222222222222,0.4545454545454545
15,34.71047227926078,11.0,8,86194.0,True,85265.0,True,87127.0,True,7,10.833333333333334,1,1,20,14.666666666666666,10.833333333333334,0.2924528301886792,0.2641509433962264,0.4545454545454545
2,31.88501026694045,8.0,11,85827.0,True,85504.0,True,95970.6,False,2,7.166666666666667,1,1,9,3.333333333333333,7.5,0.160377358490566,0.1320754716981132,0.4545454545454545
4,27.66598220396988,2.333333333333333,12,86026.0,True,85605.0,True,95970.6,False,4,6.333333333333333,1,1,10,2.333333333333333,6.166666666666667,0.1981132075471698,0.1132075471698113,0.4545454545454545
67,20.407939767282684,13.0,16,86503.0,True,94298.6,False,95970.6,False,5,9.333333333333334,1,1,13,13.0,14.5,0.3773584905660377,0.0,0.4545454545454545
21,36.20260095824778,17.0,18,86677.0,True,94298.6,False,95970.6,False,10,17.333333333333332,1,1,15,10.333333333333334,18.5,0.5,0.2264150943396226,0.4545454545454545
16,26.21218343600274,17.666666666666668,19,86742.0,True,94298.6,False,95970.6,False,10,17.333333333333332,1,1,16,16.5,18.5,0.5,0.5428571428571428,0.4545454545454545
13,27.926078028747437,3.333333333333333,7,85844.0,True,85319.0,True,87033.0,True,6,3.1666666666666665,1,1,6,13.666666666666666,11.166666666666666,0.160377358490566,0.1320754716981132,0.4545454545454545
8,29.44832306639288,3.0,9,85899.0,True,85380.0,True,87163.0,True,6,3.1666666666666665,1,1,7,3.6666666666666665,11.166666666666666,0.160377358490566,0.2452830188679245,0.4545454545454545
17,32.58590006844627,10.333333333333334,10,85427.0,True,85241.0,True,87246.0,True,9,13.5,1,1,8,16.0,15.0,0.330188679245283,0.3962264150943396,0.4545454545454545
12,23.67693360711841,10.333333333333334,17,86598.0,True,94298.6,False,95970.6,False,4,6.333333333333333,1,1,14,12.0,6.166666666666667,0.1981132075471698,0.5,0.4545454545454545
5,27.44147843942505,14.0,14,86184.0,True,85726.0,True,95970.6,False,1,10.0,1,1,12,7.5,4.5,0.1886792452830188,0.1714285714285714,0.4545454545454545
9,24.306639288158795,6.333333333333333,4,85922.0,True,85152.0,True,86914.0,True,2,7.166666666666667,1,1,4,14.5,7.5,0.160377358490566,0.15,0.4545454545454545
7,30.0807665982204,12.333333333333334,20,86964.0,True,94298.6,False,95970.6,False,5,9.333333333333334,1,1,17,7.0,14.5,0.3773584905660377,0.2777777777777778,0.4545454545454545
1,24.2217659137577,6.0,15,86454.0,True,94298.6,False,95970.6,False,1,10.0,1,1,18,2.0,4.5,0.1886792452830188,0.0571428571428571,0.4545454545454545
6,24.21081451060917,14.666666666666666,13,86074.0,True,85607.0,True,95970.6,False,3,13.666666666666666,1,1,11,6.0,12.166666666666666,0.3018867924528302,0.1052631578947368,0.4545454545454545
20,21.738535249828885,6.333333333333333,3,85938.0,True,85121.0,True,86830.0,True,9,13.5,1,1,3,20.0,15.0,0.330188679245283,0.3461538461538461,0.4545454545454545
13,27.94524298425736,6.333333333333333,16,95642.0,True,104974.1,False,107424.9,False,6,6.666666666666667,2,2,16,9.666666666666666,6.5,0.1759259259259259,0.1481481481481481,0.2575757575757575
7,30.09993155373032,11.666666666666666,15,95507.0,True,95431.0,True,107424.9,False,5,9.166666666666666,2,2,15,22.0,16.333333333333332,0.3703703703703703,0.2631578947368421,0.2575757575757575
1,24.240930869267626,8.666666666666666,13,95280.0,True,94905.0,True,107424.9,False,1,11.666666666666666,2,2,12,3.5,6.166666666666667,0.2037037037037037,0.0833333333333333,0.2575757575757575
2,31.904175222450377,8.333333333333334,11,95110.0,True,94769.0,True,107424.9,False,2,9.333333333333334,2,2,10,8.333333333333334,8.666666666666666,0.1666666666666666,0.1296296296296296,0.2575757575757575
22,36.86789869952088,9.333333333333334,4,94681.0,True,94387.0,True,95651.0,True,23,1.5,2,2,8,11.333333333333334,1.5,0.0,0.1851851851851851,0.2575757575757575
10,27.04996577686516,5.666666666666667,5,94907.0,True,94258.0,True,95690.0,True,7,8.0,2,2,3,21.0,10.666666666666666,0.287037037037037,0.2105263157894736,0.2575757575757575
12,23.696098562628336,14.666666666666666,17,95708.0,True,104974.1,False,107424.9,False,4,9.166666666666666,2,2,17,11.0,6.0,0.2037037037037037,0.5263157894736842,0.2575757575757575
16,26.23134839151266,14.666666666666666,19,95951.0,True,104974.1,False,107424.9,False,10,15.0,2,2,19,21.0,16.0,0.4736842105263157,0.5277777777777778,0.2575757575757575
17,32.60506502395619,11.666666666666666,7,95027.0,True,94222.0,True,95797.0,True,9,13.0,2,2,5,12.0,14.0,0.3333333333333333,0.3888888888888889,0.2575757575757575
3,23.772758384668037,11.0,6,95083.0,True,94547.0,True,95750.0,True,3,13.333333333333334,2,2,4,18.0,16.5,0.3055555555555556,0.2777777777777778,0.2575757575757575
15,34.729637234770706,10.333333333333334,2,94745.0,True,93990.0,True,95273.0,True,7,8.0,2,2,2,6.666666666666667,10.666666666666666,0.287037037037037,0.2592592592592592,0.2575757575757575
18,29.21013004791239,10.0,1,95058.0,True,93784.0,True,95181.0,True,23,1.5,2,2,1,8.333333333333334,1.5,0.0,0.2777777777777778,0.2575757575757575
21,36.2217659137577,15.333333333333334,18,95908.0,True,104974.1,False,107424.9,False,10,15.0,2,2,18,6.333333333333333,16.0,0.4736842105263157,0.2222222222222222,0.2575757575757575
